Taxa	Race	FT	Biomass_BLUE	PH4wap_BLUE	PH6wap_BLUE	PH8wap_BLUE	PH10wap_BLUE	PH12wap_BLUE	PH14wap_BLUE	PH16wap_BLUE	Starch_BLUE	SLA_BLUE
NSL102183	Caudatum	0	10.22021715	28.01638255	60.79160716	120.0444293	181.4716324	217.7741878	278.6022093	304.0294874	23.57252582	229.2356572
NSL365694	Kafir	0	7.596844275	27.47367382	56.04168319	95.32599859	110.5370241	129.7287183	172.7113564	235.687045	27.0233787	236.9204513
NSL365712	Durra	0	11.03506988	26.74522717	52.85937241	142.4824727	265.0561049	278.2115043	314.2178217	377.527239	24.02834669	245.3601173
NSL50448	Guinea	0	11.82004126	29.86442198	57.25892522	128.6209868	199.6040942	277.1647653	313.174997	346.3013061	25.25167265	255.623825
NSL50449	Guinea	0	10.40812419	27.07613967	59.40179582	135.1494566	220.4261367	271.0012636	307.9264456	363.2601327	24.33534371	251.4564162
NSL50464	Guinea	1	11.42127892	27.30087847	68.67813177	171.2111722	292.506325	315.9747954	382.3956814	405.7263687	26.73943848	232.0669022
NSL50499	Guinea	0	6.695252754	28.22053394	62.73056105	150.0483053	247.9479363	279.30241	322.5123003	339.6555438	25.3512635	267.0495893
NSL50613	Guinea	0	10.52563464	32.68345229	60.6399577	131.335586	211.2083741	274.2322423	327.4994121	380.2456675	26.72222548	248.4891259
NSL50614	Guinea	0	14.62096016	30.96896012	58.94649967	133.2173043	223.6452017	274.7948876	317.5542073	337.2427547	26.36625975	250.4192074
NSL50646	Guinea	0	9.937484262	28.72899105	59.13814065	120.0442752	156.5407066	237.288638	295.8167033	344.4748365	25.20362133	273.0678968
NSL50649	Guinea	0	10.17980732	29.48694711	61.79657685	138.6416654	201.5817743	256.5735787	308.2165031	376.1235571	24.430184	260.3612951
NSL50663	Guinea	0	8.649580232	26.89063605	52.33981775	96.66072271	168.2150825	239.8476353	282.8436097	364.0254102	25.54330799	219.0315395
NSL50685	Guinea	0	6.297085383	26.45236974	62.08267255	107.8988934	171.9709515	220.3954799	275.2304116	315.0776311	27.82214774	255.218535
NSL50716	Guinea	0	10.55220966	24.14000274	57.61993764	119.7404743	167.5701172	236.2043941	269.3689387	332.8922936	24.52905355	261.6307855
NSL50748	Guinea	0	13.02546775	30.11007678	64.28450251	147.1618287	237.1850717	287.2957487	331.8191012	375.5758342	24.63848425	242.3747206
NSL50843	Guinea	0	8.0026571	30.6101687	60.36569696	162.213859	254.9580493	287.9832411	345.3672244	349.2885266	24.52480591	232.1496811
NSL51356	Kafir	0	7.456181414	22.07785439	52.74966733	93.34722053	130.9611967	176.8841684	225.572787	248.1796103	24.84501684	295.5454059
NSL51902	Caudatum	0	7.513538157	28.22002949	67.10067616	143.9516459	235.7562421	276.6613166	304.9236852	374.9628273	24.31073668	233.8772585
