Taxa	Race	FT	Biomass_BLUE	PH4wap_BLUE	PH6wap_BLUE	PH8wap_BLUE	PH10wap_BLUE	PH12wap_BLUE	PH14wap_BLUE	PH16wap_BLUE	SLA_BLUE	SD_BLUE	Starch_BLUE	SLA_NEW
PI665081	Durra	0	11.54412396	27.91351316	58.09290415	152.0306351	247.0801803	294.5019472	340.9876093	402.4897286	212.5387224	61.51234932	26.59179631	213.4373401
PI665083	Guinea	0	11.42455557	26.46765941	62.26495622	137.9786138	194.2573355	270.1737663	308.0166091	356.9535059	241.8321638	59.46961101	24.83572729	240.3046933
PI665085	Guinea	0	10.51606013	30.28223691	60.38300923	102.1750151	162.9205238	213.0886815	273.6516928	278.2159516	228.5191768	61.43878263	23.90224525	233.9400513
PI665088	Guinea	0	11.75585459	26.05817368	59.30920981	123.5885613	197.3586876	269.1979868	325.9966135	380.8415794	242.3994025	59.39268291	24.87891822	236.3730855
PI665091	Durra	0	8.693632373	29.24277664	62.81202388	130.5951518	209.9769892	277.4032894	326.4266345	383.4528377	221.2150128	61.17197727	25.34986794	225.830114
PI665092	Kafir	1	9.235845534	29.14051368	59.11301513	148.6737317	228.1608977	284.3536745	332.0556944	351.2926756	267.5943889	65.10179853	24.44294923	261.532495
PI665093	Kafir	0	9.602210157	25.317586	54.3204535	123.1551293	201.106345	252.5712602	301.5169378	356.6559982	229.0301726	59.72373737	25.50476841	228.6849241
PI665097	Caudatum	0	11.58222843	32.16985524	68.69610076	153.4020468	250.0616891	305.8819372	334.3303818	392.2076733	241.3729054	57.89684195	23.89828607	240.6630289
PI665098	Caudatum	0	11.33215419	28.65088973	60.46692248	135.8388174	223.6414016	266.0126131	325.0261301	371.96333	247.5040593	63.38304918	23.74477502	248.545725
PI665103	Guinea	0	7.031306266	28.03461123	57.51263221	129.9233926	210.5596491	270.4197025	305.5362696	352.2381019	248.6669867	64.74375531	25.51870096	246.2834061
PI665104	Guinea	0	11.86603205	29.42913352	66.35546574	159.4760938	236.5903445	296.0524762	330.9553884	370.4948778	248.3226919	58.99802101	25.29593894	245.7084574
PI665107	Kafir	0	11.5668909	23.89022184	54.92162787	120.2336104	207.7143332	272.7356623	319.2979832	367.9744412	255.1189013	58.76511462	24.91733854	250.7204212
PI665108	Kafir	0	13.0054326	24.88955995	57.67114017	148.1090184	256.7951025	315.2302284	351.3302281	406.2041144	231.2133619	69.72435758	24.58239798	231.7849924
PI665110	Guinea	0	11.38740792	25.84132073	57.50879783	139.7961826	247.5270213	277.8563133	345.6367284	382.4681935	236.4497279	55.53044411	26.25567593	238.8569002
PI665111	Guinea	0	10.07890948	22.00230783	48.88544749	124.1508659	203.1370786	266.5358777	308.8437341	352.1111557	264.190751	65.6840946	24.73823358	258.1652457
PI665112	Caudatum	0	10.39099709	22.96137597	53.80882673	118.8376656	185.8134893	223.80164	268.5602771	358.5635165	235.5631434	61.95885914	24.30714886	237.4053619
PI665114	Caudatum	0	12.36221603	29.7636445	64.95426097	145.8210336	208.1404472	277.7123808	336.7449573	355.2595486	241.6736122	67.16480127	24.28518495	244.7534732
PI665116	Durra	0	8.378625922	33.33787155	64.37174679	164.3471221	265.2175835	332.7171093	368.1344237	408.1900212	209.0723035	60.39294025	25.48208802	214.7773807
PI665117	Caudatum	0	11.67884996	29.47006843	61.74851863	143.4796328	215.6313012	264.0984912	325.3222501	355.0520895	234.7415758	70.16918229	26.14925411	237.8441983
PI665118	Durra	0	10.37632945	30.78062391	61.43798936	159.1845406	249.3931846	299.3291615	326.1681497	387.3417936	233.5755157	65.35840807	24.43475581	235.753387
PI665121	Durra	1	8.472031953	26.49770041	55.91834968	140.8963017	222.5157493	264.5627289	321.7885346	343.9623519	213.557799	59.35055154	26.99388678	215.910986
PI665123	Durra	0	11.85245802	28.08821023	61.39030513	157.6030248	292.2186896	318.5926173	354.8150107	399.9639543	216.6770556	59.22611735	25.25869812	217.0114556
PI665124	Durra	0	10.79940856	29.52862292	65.77642436	163.6795042	258.4001728	312.8684985	359.5091037	392.6094944	219.2331877	64.83052686	24.86812448	217.0629638
PI665125	Kafir	0	12.30306709	24.76415662	56.53065155	139.6686287	212.9635756	250.007675	308.7392446	359.838288	238.5614117	55.80784865	24.81112026	239.8314979
PI665126	Durra	1	12.79922233	32.33855702	79.10650943	187.8148757	297.4327647	351.9147812	406.0364526	422.9729827	211.01222	63.24978926	25.16027001	211.4584751
PI665129	Durra	0	9.71643782	29.12490613	72.45460098	178.8391032	274.4445175	330.5348566	390.2477489	385.9810019	221.0218107	57.03650191	24.99115963	217.4738279
PI665133	Durra	1	9.434052177	28.66310081	78.05748527	185.2352471	311.9024137	351.7244751	408.6402166	405.9601402	199.6932081	70.80650375	24.92689638	201.7423638
PI665137	Durra	1	10.35779431	30.04388399	67.09083048	183.5411838	295.5942936	346.471274	399.6979956	422.6273846	211.2402503	59.75822853	25.14959553	209.2568016
PI665138	Durra	1	6.04047861	28.98188688	51.64526733	142.023463	229.5511099	278.2695488	331.6177329	354.1573557	223.2123924	60.63559745	25.968585	217.6249896
PI665141	Durra	1	10.70085684	28.8038786	58.59508628	138.5788305	211.8444861	256.7223938	301.6985342	352.1368075	205.926079	64.89655081	26.00256568	211.9505597
PI665142	Durra	0	10.65177741	32.49718382	70.34002287	174.7221593	270.5553294	317.1483485	379.3208001	414.7881824	204.0322959	59.69725496	24.66812943	203.8948377
PI665143	Durra	1	10.05214962	28.20418533	56.68276734	137.3998378	188.4289495	261.1201551	306.3008448	340.6434314	204.149173	62.32594834	24.83335316	203.8372581
PI665144	Caudatum	0	12.83321368	32.8669849	77.47087254	166.8163869	267.8627016	324.4207412	384.2467688	413.0925918	198.2200371	62.11405867	25.05481642	197.8815022
PI665145	Durra	1	11.32852277	31.9207209	70.14812138	179.1457224	300.5702752	364.3184517	394.1974726	419.0907579	213.9541553	61.61483265	24.49022776	217.1733184
PI665146	NA	1	11.50485201	25.88740585	57.1780796	145.6186555	243.0705845	276.6168963	332.4502751	339.429389	219.5563314	58.38233252	24.6118899	220.0579271
PI665147	Durra	1	10.46021909	25.66302531	58.82635644	129.3478119	204.5096038	241.9348903	309.5556355	344.4118491	192.1805516	66.92333557	24.09549278	197.1468186
PI665148	Durra	1	10.40209162	27.7660216	53.33455224	140.6875263	213.0619904	258.1527672	303.4115287	329.9091455	206.6293348	63.35424048	26.62379737	208.9804719
PI665150	Durra	0	NA	28.26	60.79	142.45	227.34	277.38	320.96	359.65	238.6955742	56.99494318	NA	238.6731309
PI665153	Durra	0	11.98532352	27.90283496	55.51273892	133.9716122	242.1626176	293.486057	344.6014585	371.5226752	206.3613751	64.19349559	24.41568559	211.9271747
PI665154	Durra	1	9.630738835	31.1418052	63.32814113	147.9036435	221.6516222	287.9566981	312.7009538	357.7005004	202.9860704	60.61157643	24.98336946	205.208194
PI665156	Kafir	0	13.09444603	24.42103816	55.55281229	140.2419528	227.2849402	294.1155597	347.5895338	395.6578887	265.6123306	60.21898062	25.32880226	260.2467544
PI665159	Caudatum	0	10.93492038	26.50905138	56.3683092	133.6418227	211.8050654	231.3207175	275.8921309	321.7789665	261.1403943	60.02922475	24.81112026	259.8456547
PI665160	Caudatum	0	8.558937964	27.86215355	51.60445301	87.14309542	108.2843254	137.2791885	151.0345442	179.7083783	246.8518666	54.72005467	24.77919134	242.4087574
PI665170	Guinea	0	10.88732225	25.54148101	61.08379538	155.6740153	273.9458715	295.0505107	350.2137092	383.8430794	249.8008653	63.10721349	24.5856564	255.2031007
